XYZ[0][m],XYZ[1][m],XYZ[2][m],Deviation[],Amplitude[dB],Reflectance[dB],True Color[0][],True Color[2][],True Color[3][]
-0.09775,2.61350,-0.39875,3,15.33,-16.60,27,14,1
-0.09950,2.61425,-0.39800,0,15.16,-16.20,33,18,1
-0.09800,2.61525,-0.39800,0,16.49,-17.14,18,0,1
-0.10700,2.61950,-0.39900,2,15.36,-16.61,26,14,1
-0.10775,2.61600,-0.39775,0,14.96,-16.39,31,18,1
-0.10475,2.61625,-0.39775,1,14.79,-16.55,32,19,1
-0.10650,2.61975,-0.39800,0,15.46,-15.87,33,18,1
-0.11050,2.62000,-0.39875,2,15.12,-16.86,26,14,1
-0.10900,2.62025,-0.39725,0,16.91,-16.72,16,1,1
-0.10925,2.62200,-0.39750,1,15.05,-16.27,32,20,1
-0.10800,2.62175,-0.39825,5,15.42,-15.90,33,19,1
-0.10550,2.62375,-0.39775,1,15.30,-16.01,31,19,1
-0.10125,2.61775,-0.39875,6,15.65,-16.30,26,14,1
-0.10250,2.61750,-0.39700,2,15.26,-16.08,31,19,1
-0.10100,2.61775,-0.39750,0,15.30,-16.04,32,19,1
-0.09700,2.61650,-0.39850,1,15.78,-16.15,28,15,1
-0.09675,2.61600,-0.39800,1,15.40,-15.95,33,18,1
-0.09850,2.61975,-0.39750,2,15.54,-15.79,32,17,1
-0.10100,2.62075,-0.39850,3,15.48,-16.47,27,14,1
-0.10275,2.62250,-0.39875,3,15.33,-15.99,33,18,1
-0.10250,2.62025,-0.39800,1,15.37,-16.58,26,14,1
-0.10400,2.62350,-0.39775,2,15.03,-16.28,31,17,1
-0.10275,2.62375,-0.39725,2,15.11,-16.20,33,17,1
-0.10025,2.62350,-0.39750,8,15.25,-16.06,35,18,1
-0.09775,2.62050,-0.39850,2,15.53,-16.41,27,12,1
-0.09725,2.62100,-0.39825,0,15.37,-15.95,32,17,1
-0.09400,2.59250,-0.39950,0,15.41,-16.46,26,14,1
-0.09500,2.59500,-0.39850,3,14.72,-17.16,26,14,1
-0.09225,2.59525,-0.39850,2,15.24,-16.21,31,19,1
-0.08900,2.59350,-0.39875,1,16.28,-17.36,15,3,1
-0.09175,2.59450,-0.39875,4,15.39,-16.47,27,15,1
-0.08825,2.59450,-0.39850,1,15.45,-16.00,31,19,1
-0.08975,2.59525,-0.39900,1,15.32,-16.13,31,17,1
-0.09500,2.59825,-0.39850,1,15.25,-16.64,26,14,1
-0.09275,2.59850,-0.39875,4,14.73,-17.15,26,14,1
-0.09400,2.59825,-0.39800,1,15.38,-16.06,31,19,1
-0.08950,2.59650,-0.39950,0,15.21,-16.65,26,14,1
-0.08425,2.59250,-0.39850,0,15.36,-16.11,30,18,1
-0.08500,2.59200,-0.39800,0,14.91,-16.92,27,15,1
-0.08675,2.59425,-0.39800,5,15.15,-16.31,31,19,1
-0.08100,2.59475,-0.39850,3,15.40,-16.42,26,14,1
-0.08025,2.59400,-0.39800,1,15.33,-16.13,32,20,1
-0.08625,2.59625,-0.39850,1,15.14,-16.71,26,14,1
-0.08575,2.59600,-0.39850,8,15.30,-16.15,31,19,1
-0.08575,2.59900,-0.40000,0,15.41,-16.44,26,14,1
-0.08450,2.59825,-0.39875,7,15.29,-16.15,32,20,1
-0.08475,2.59850,-0.39825,1,15.26,-16.59,26,14,1
-0.08725,2.59850,-0.39800,2,15.45,-16.41,27,15,1
-0.08750,2.59975,-0.39800,0,15.31,-16.12,31,17,1
-0.08375,2.59925,-0.39875,2,17.06,-16.58,16,1,1
-0.08050,2.59850,-0.39850,5,15.52,-15.92,33,18,1
-0.08200,2.59775,-0.39775,3,15.42,-16.02,31,19,1
-0.08175,2.59625,-0.39675,1,15.26,-16.19,32,20,1
-0.08325,2.59900,-0.39800,0,15.41,-16.03,32,20,1
-0.09550,2.60025,-0.39825,3,15.28,-16.14,31,19,1
-0.09225,2.60000,-0.39825,0,15.14,-16.74,25,13,1
-0.09200,2.60050,-0.39850,0,16.67,-16.97,16,1,1
-0.09150,2.60075,-0.39800,1,15.34,-16.08,31,19,1
-0.09525,2.60500,-0.39900,1,15.22,-16.68,25,13,1
-0.09475,2.60550,-0.39825,3,15.19,-16.21,31,19,1
-0.09300,2.60725,-0.39875,1,15.61,-16.29,26,14,1
-0.09325,2.60550,-0.39800,2,15.31,-16.09,31,19,1
-0.09500,2.60650,-0.39750,2,16.73,-16.90,18,1,1
-0.09050,2.60450,-0.39825,0,15.50,-15.91,32,20,1
-0.08925,2.60500,-0.39775,2,15.56,-15.84,32,20,1
-0.08800,2.60225,-0.39850,3,15.57,-16.30,27,13,1
-0.08250,2.60050,-0.39975,1,15.37,-16.47,28,15,1
-0.08375,2.60125,-0.39850,3,15.69,-16.16,28,13,1
-0.08375,2.60275,-0.39825,1,15.57,-15.85,32,20,1
-0.08250,2.60200,-0.39900,2,15.48,-16.37,28,14,1
-0.08250,2.60275,-0.39800,2,15.33,-16.09,31,19,1
-0.08650,2.60425,-0.39825,0,15.37,-16.04,32,17,1
-0.08700,2.60525,-0.39875,0,16.92,-16.71,16,1,1
-0.08675,2.60500,-0.39850,1,15.32,-16.55,27,12,1
-0.08550,2.60750,-0.39825,5,15.56,-16.31,27,14,1
-0.08775,2.60700,-0.39800,2,15.38,-16.50,27,14,1
-0.08800,2.60775,-0.39800,5,15.71,-15.68,33,20,1
-0.08400,2.60475,-0.39875,9,15.60,-16.26,27,12,1
-0.08025,2.60425,-0.39875,4,15.52,-16.32,30,12,1
-0.08050,2.60775,-0.39875,2,15.71,-16.14,27,12,1
